question,answer
What is the return policy?,"You can return products within 30 days if they are unused and in original condition."
How long does delivery take?,"Delivery takes 3-7 business days."
Do you ship internationally?,"Yes, we ship to over 40+ countries."
What payment methods do you accept?,"We accept UPI, credit card, debit card, PayPal, and COD."
How can I track my order?,"You will receive a tracking link after your product is shipped."
Do you offer COD (Cash on Delivery)?,"Yes, we offer Cash on Delivery for selected locations."
Can I cancel my order?,"Yes, you can cancel your order before it is shipped. Once shipped, cancellation is not possible."
What if I receive a damaged product?,"If you receive a damaged or defective product, raise a return request within 48 hours for a free replacement or refund."
How do I contact customer support?,"You can contact our support team via email or live chat 24/7."
Do I need an account to place an order?,"You can place an order as a guest, but creating an account allows faster checkout and order tracking."
What happens if I miss my delivery?,"Our delivery partner will attempt delivery two more times or contact you to reschedule."
Can I change my delivery address after ordering?,"Address changes are possible only before the order is shipped."
Do you offer discounts or coupons?,"Yes, we frequently offer promo codes and seasonal discounts. Subscribe to our newsletter to stay updated."
Are product prices inclusive of taxes?,"Yes, all prices shown include taxes unless stated otherwise."
What is your refund process?,"Refunds are initiated within 2–5 business days after successful return pickup."
How long does refund take?,"Refunds can take 2–7 business days to appear in your bank depending on your payment method."
Do you offer warranty on products?,"Yes, many products include manufacturer warranty. Warranty details are mentioned on product pages."
What should I do if I entered wrong shipping details?,"Contact support immediately so we can attempt correction before dispatch."
Why is my order delayed?,"Delays may occur due to high demand or logistics issues. You will be informed via SMS/email if this happens."
Can I return a product bought on sale?,"Yes, sale items can be returned unless marked “non-returnable.”"
Do you have a mobile app?,"Yes, our mobile app is available on both Android and iOS platforms."
How do I apply a promo code?,"You can enter the promo code during checkout in the designated field."
What happens if I receive the wrong item?,"Contact customer support immediately. We will arrange return pickup and send you the correct item at no extra cost."
I received wrong product what to do?,"Contact our support team at support@ecommerce.com or call 1800-123-4567. We will arrange free pickup and send the correct product immediately."
